"id","iso_639_2_code_b","iso_639_2_code_t","iso_639_1_code","english_name","french_name","created_at","updated_at","updated_by"
1,aar,   ,aa,Afar,afar,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
2,abk,   ,ab,Abkhazian,abkhaze,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
3,ace,   ,  ,Achinese,aceh,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
4,ach,   ,  ,Acoli,acoli,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
5,ada,   ,  ,Adangme,adangme,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
6,ady,   ,  ,Adyghe; Adygei,adyghé,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
7,afa,   ,  ,Afro-Asiatic languages,"afro-asiatiques, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
8,afh,   ,  ,Afrihili,afrihili,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
9,afr,   ,af,Afrikaans,afrikaans,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
10,ain,   ,  ,Ainu,aïnou,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
11,aka,   ,ak,Akan,akan,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
12,akk,   ,  ,Akkadian,akkadien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
13,alb,sqi,sq,Albanian,albanais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
14,ale,   ,  ,Aleut,aléoute,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
15,alg,   ,  ,Algonquian languages,"algonquines, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
16,alt,   ,  ,Southern Altai,altai du Sud,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
17,amh,   ,am,Amharic,amharique,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
18,ang,   ,  ,"English, Old (ca.450-1100)",anglo-saxon (ca.450-1100),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
19,anp,   ,  ,Angika,angika,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
20,apa,   ,  ,Apache languages,"apaches, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
21,ara,   ,ar,Arabic,arabe,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
22,arc,   ,  ,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),araméen d'empire (700-300 BCE),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
23,arg,   ,an,Aragonese,aragonais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
24,arm,hye,hy,Armenian,arménien,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
25,arn,   ,  ,Mapudungun; Mapuche,mapudungun; mapuche; mapuce,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
26,arp,   ,  ,Arapaho,arapaho,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
27,art,   ,  ,Artificial languages,"artificielles, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
28,arw,   ,  ,Arawak,arawak,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
29,asm,   ,as,Assamese,assamais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
30,ast,   ,  ,Asturian; Bable; Leonese; Asturleonese,asturien; bable; léonais; asturoléonais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
31,ath,   ,  ,Athapascan languages,"athapascanes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
32,aus,   ,  ,Australian languages,"australiennes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
33,ava,   ,av,Avaric,avar,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
34,ave,   ,ae,Avestan,avestique,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
35,awa,   ,  ,Awadhi,awadhi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
36,aym,   ,ay,Aymara,aymara,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
37,aze,   ,az,Azerbaijani,azéri,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
38,bad,   ,  ,Banda languages,"banda, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
39,bai,   ,  ,Bamileke languages,"bamiléké, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
